company_id,fiscal_period,revenue_pln_mln,net_income_pln_mln,ebitda_pln_mln,ebit_pln_mln
1,I Q 2022,37.297,5.922,10.415,7.409
1,II Q 2022,35.765,0.347,5.573,2.187
1,III Q 2022,58.379,2.253,9.483,5.916
1,IV Q 2022,143.814,19.084,28.042,24.628
1,I Q 2023,65.663,4.029,6.837,3.183
1,II Q 2023,101.706,13.515,20.852,17.036
1,III Q 2023,135.688,15.824,26.909,23.016
1,IV Q 2023,271.296,34.669,49.313,45.367
1,I Q 2024,87.703,12.234,28.381,24.394
1,II Q 2024,123.979,16.745,31.738,27.806
1,III Q 2024,141.144,18.918,33.917,29.249
1,IV Q 2024,203.128,33.129,46.447,41.456
1,I Q 2025,124.694,14.431,34.755,29.604
1,II Q 2025,154.238,23.712,41.743,36.435
1,III Q 2025,199.237,30.923,54.794,49.528
2,I Q 2022,83.920,9.862,20.722,14.555
2,II Q 2022,87.134,7.888,21.383,15.107
2,III Q 2022,108.385,5.049,27.407,20.124
2,IV Q 2022,112.738,17.421,31.404,24.556
2,I Q 2023,110.531,14.118,31.491,23.973
2,II Q 2023,116.770,19.654,33.146,25.199
2,III Q 2023,120.169,16.822,35.354,27.136
2,IV Q 2023,132.476,36.808,37.355,28.271
2,I Q 2024,144.120,24.177,38.825,30.789
2,II Q 2024,154.362,27.196,41.404,33.063
2,III Q 2024,185.404,70.415,41.039,32.251
2,IV Q 2024,173.157,32.570,47.505,38.227
2,I Q 2025,190.518,27.821,56.846,42.869
2,II Q 2025,212.044,27.898,68.811,50.859
2,III Q 2025,215.921,28.147,69.986,52.128
3,I Q 2022,439.793,252.639,311.635,308.768
3,II Q 2022,396.404,226.931,262.448,259.660
3,III Q 2022,391.287,236.219,261.823,258.743
3,IV Q 2022,216.696,50.307,61.773,58.511
3,I Q 2023,537.542,302.814,357.080,353.334
3,II Q 2023,293.100,118.183,139.741,135.757
3,III Q 2023,280.982,121.127,120.218,116.022
3,IV Q 2023,504.676,249.049,324.312,319.041
3,I Q 2024,555.827,302.746,355.731,350.983
3,II Q 2024,381.790,160.300,181.398,176.430
3,III Q 2024,470.039,203.826,266.774,261.708
3,IV Q 2024,464.156,189.984,202.737,197.614
3,I Q 2025,580.269,193.923,270.343,264.477
3,II Q 2025,580.352,216.129,293.664,287.686
3,III Q 2025,375.778,53.227,59.719,53.167
4,I Q 2022,334.792,243.948,317.280,305.706
4,II Q 2022,350.821,244.871,304.643,292.667
4,III Q 2022,385.150,188.260,252.888,239.640
4,IV Q 2022,403.804,127.938,219.218,204.828
4,I Q 2023,420.964,234.575,343.512,329.368
4,II Q 2023,429.899,293.815,392.600,378.344
4,III Q 2023,460.565,228.925,335.252,320.713
4,IV Q 2023,477.041,226.886,314.091,298.733
4,I Q 2024,506.809,338.194,433.976,418.003
4,II Q 2024,515.930,264.660,368.378,352.683
4,III Q 2024,563.136,356.227,491.607,476.099
4,IV Q 2024,602.497,115.197,180.952,165.649
4,I Q 2025,605.189,251.682,409.132,393.417
4,II Q 2025,614.534,332.472,426.095,410.642
4,III Q 2025,645.955,293.001,431.506,414.900
5,I Q 2022,3034.200,268.000,368.500,117.000
5,II Q 2022,4340.600,-362.300,391.900,120.100
5,III Q 2022,4366.800,395.500,797.900,511.800
5,IV Q 2022,4184.900,183.900,755.300,435.500
5,I Q 2023,3639.000,112.000,551.000,231.000
5,II Q 2023,4575.000,441.000,943.000,607.000
5,III Q 2023,4350.000,575.000,1159.000,802.000
5,IV Q 2023,4841.000,484.000,1013.000,643.000
5,I Q 2024,4306.000,277.000,795.000,411.000
5,II Q 2024,5005.000,443.000,1018.000,611.000
5,III Q 2024,5212.000,577.000,1157.000,731.000
5,IV Q 2024,5671.000,450.000,1134.000,662.000
5,I Q 2025,4954.000,332.000,938.000,464.000
5,II Q 2025,5554.000,467.000,1194.000,689.000
